Product_Name,Discount,MRP,Selling_Price,Colour,Form_Factor,Number_of_Lithium_Ion_Cells,Included_Components,Country_of_Origin,Item_Weight,Sensitivity,Headphones_Jack,Model_Name,Connectivity_Technology,Wireless_Communication_Technology,Age_Range,Material,Specific_Uses_For_Product,Charging_Time,Recommended_Uses_For_Product,Compatible_Devices,Control_Type,Control_Method,Control_Type_Method,Cable_Feature,Number_of_Items,Battery_Life,Audio_Driver_Type,Audio_Driver_Size,Bluetooth_Range,Bluetooth_Version,Earpiece_Shape,Special_Feature,Special_Features,Product_Dimensions,Batteries,Batteries_Included,Batteries_Required,Battery_Cell_Composition,Includes_Rechargeable_Battery,Style,Controller_Type,Carrying_Case_Material,Carrying_Case_Color,Series_Number,UPC,Does_it_contain_liquid,Model,Item_model_number,Series_number,Cable_Length,Frequency_Range,Impedance,Battery_Type,Battery_cell_composition,Age_Range_Description,Water_Resistance_Level,Net_Quantity
"Noise Two Wireless On Ear Headphones with 50 Hours Playtime, Low Latency(up to 40ms), 4 Play Modes, Dual Pairing, BT v5.3 (Serene Blue)",-66%,"₹4,999₹4,999","1,699.00",Black,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Without Carry Case,,,,,,,,,,,,16 Ohm,,,,,
Boat BassHeads 225 in-Ear Super Extra Bass Headphones (Black),-50%,₹999₹999,499,Calm Beige,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Noise Airwave Max 4 Wireless Over Ear Headphones with 70H Playtime, ENC, 40mm Driver, Low Latency(up to 40ms), Dual Pairing, BT v5.4 (Calm Beige)",-58%,"₹5,999₹5,999","2,499.00",Bold Blue,Over Ear,,,,,,No Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 412 (2025 Launch), 60Hrs Battery, 40Mm Drivers, 40Ms Low Latency, Enx Tech, Integrated Controls, V5.4 Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Bold Blue)",-60%,"₹2,999₹2,999","1,199.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marshall Major IV Wireless Bluetooth On Ear Headphone with Mic (Black),-33%,"₹14,999₹14,999","9,999.00",Black,Over Ear,,,,,Frequency Response : 20Hz-20Khz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Headphones Form Factor : Over Ear,,Sensitivity : -42±3db,,,,,
Ant Esports H520W Lightweight Gaming Over Ear Wired Headphones with Mic| 3.5MM Jack |50 MM Drivers | Compatible with PC/ PS4 / Xbox One/Nintendo/Mobile (Black),-77%,"₹2,999₹2,999",685,Taupe,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100 Ohm,,,,,
"Sony WH-CH520 Wireless Bluetooth Headphones on Ear with Mic, Up to 50Hrs Battery, Quick Charge, DSEE Upscale, Multipoint Connectivity, Voice Assistant, Customized EQ-Beige",-33%,"₹5,990₹5,990","3,990.00",70(BEIGE),On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Duke Plus, Wireless Over Ear Headphone with ANC, ENC, Gaming Mode, Dual Pairing, Rapid Charge, Upto 70* Hours Backup, Bluetooth v5.4, AUX, Comfortable Earcushion, Deep Bass (Beige)",-84%,"₹7,999₹7,999","1,299.00",Brown,Over Ear,,,,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Thunder Over Ear Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Brown)",-43%,"₹1,399₹1,399",799,Iris Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt New Launch Rockerz 650 Pro, Touch/Swipe Controls, Dolby Audio, 80Hrs Battery, 2Mics ENx, Fast Charge, App Support, Dual Pair, Bluetooth Over Ear Headphones with Mic (Iris Black)",-67%,"₹8,990₹8,990","2,999.00",Cosmic Black,Over Ear,,,,,,,,Bluetooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rockerz,,,,,,,,,,
"boAt Rockerz 512 ANC,(~40dB) Hybrid ANC, 80H Battery, 40mm Drivers, 40ms Low Latency, ENx Tech,Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Headphone with Mic (Cosmic Black)",-66%,"₹7,990₹7,990","2,699.00",Black,On Ear,,,,,,,Rockerz,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5mm Jack,,,,,,,,,,,,320 Ohm,,,,,
"Dyazo Computer Wired Headphones | Headset with Mic | 3.5 MM Jack | Compatible for Laptops, PC, Notebooks (Black)",-53%,₹999₹999,469,Green,In Ear,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zeb-Bro(Green),,,,,,,,,,,,16 Ohm,,,,,
"ZEBRONICS Bro in Ear Wired Earphones with Mic, 3.5mm Audio Jack, 10mm Drivers, Phone/Tablet Compatible (Green)",-60%,"₹1,135.71₹1,135.71",159,Black,Over Ear,,,,,,USB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 460, 30H Battery, 40mm Drivers, Beast Mode, ENx, Dual Pair, Adaptive Fit, Stream Ad Free Music via App Support, Bluetooth Headphones, Wireless Over Ear Headphone with Mic (Active Black)",-56%,"₹2,490₹2,490","1,099.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sony ULT Wear WH-ULT900N Noise Cancellation Wireless Bluetooth Over Ear Headphones with Massive Bass, Up to 50Hrs Battery-Black",-38%,"₹24,990₹24,990","15,525.00",Q Beige,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"GOBOULT Q Over Ear Bluetooth Headphones with 70H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, 4 EQ Modes, AUX Option, IPX5 Headphones Wireless with mic (Beige)",-70%,"₹5,999₹5,999","1,799.00",Ash Grey,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"boAt Rockerz 113 (2025 Launch), 40 Hrs Playback, Dual Pair, Fast Charge, Enx Tech, Low Latency, Magnetic Buds, Bluetooth Neckband, Wireless with Mic in Ear Earphones(Ash Grey)",-68%,"₹2,490₹2,490",799,Black-Copper,Over Ear,,,,,,,,,,,,,,,,,,,,,60 hours(BT+ANC),,,,,,,,,,,,,,,,,,,,,,,,,,470 Ohm,,,,,
"Sennheiser Momentum 4 Wireless Over Ear Headphones, German Design, ANC, 60h Battery, Customizable Sound, 4 Digital Mics for Crystal-Clear Calls, Multipoint Connectivity, 2 Yr Warranty, Black/Copper",-26%,"₹34,990₹34,990","25,990.00",Black & Blue,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"HP H200 On Ear Wireless Headset, Black",-73%,"₹3,749₹3,749",999,Plasma,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crusher ANC 2,,,,,,,,,,,,32 Ohm,,,,,
"Skullcandy Crusher ANC 2 Over-Ear Wireless Headphones | Active Noise Cancellation, Sensory Bass, Dual Pairing, 50H Battery, Rapid Charge, Alexa Built-in | Plasma, Red",-69%,"₹64,999₹64,999","19,999.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,4.1,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
Logitech H111 Wired On Ear Headphones With Mic Black,-27%,₹955₹955,695,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,60 hours(BT+ANC),,,,,,,,,,,,,,,,,,,,,,,,,,560 Ohm,,,,,
"Sennheiser ACCENTUM Plus Wireless Over Ear Headphones,German Design,Adaptive ANC,50H Battery,Sound Personalization,Touch Control,Multipoint Connectivity,Clear Calls,10Min Charge = 5H,2Y Warranty,Black",-20%,"₹19,990₹19,990","15,990.00",,,,,,,,USB Jack,,Wired,,,,,,,,,,,,,,,,,,,,,,,,,,,Wired,,,,,,,,,,,,,,,,,1 Pack
"Amazon Basics Pro Series Wired USB On Ear Headset with Mic | 40 mm Driver | Computer/PC or Laptop Headphone | Noise Cancellation Microphone | in-line Control for Home, Office, Teams or Zoom, Black",-50%,"₹3,999₹3,999","1,999.00",Blue,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03 Ohm,,,,,
"ZEBRONICS Boom Wired Headphone, Over Ear, in-Line MIC, Foldable, 1.5 Meter Cable, for 3.5mm (Mobile | Tablet | Laptop | MAC), Soft Cushion, 40mm Drivers (Blue)",-46%,"₹1,299₹1,299",699,WHITE,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,V5.0,,,,,,,,,,,,,,,,,,,,,,16 Ohm,,,,,
"soundcore by Anker Q20i Hybrid Active Noise Cancelling Headphones, Wireless Over-Ear Bluetooth, 40H Long ANC Playtime, Hi-Res Audio, Big Bass, Customize via an App, Transparency Mode (White)",-59%,"₹3,89,900.00₹3,89,900.00","3,899.00",Blue,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 Ohm,,,,,
"JBL Quantum 100 Wired Over Ear Gaming Headphones with Mic, 40mm Dynamic Drivers, Quantum Sound Signature, Detachable Mic, Memory Foam Cushioning, PC/Mobile/PS/Xbox/Nintendo/VR Compatible (Blue)",-50%,"₹3,999₹3,999","1,999.00",BLACK,Over Ear,,,,,›,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HY-HD10,,,,,32 Ohm,,,,,
"hayden HY-HD10 Professional Studio Headphones Over-Ear, 50mm Drivers, Foldable, Lightweight, Dual Detachable Cables (2.8m Coiled & 1.2m with Mic) for DJ, Gaming, Recording, Mixing, Monitoring (Black)",-37%,"₹2,999₹2,999","1,899.00",Black,Over Ear,,,,,,,HY-HD10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SM50 Pro RD,,,,,32 Ohm,,,,,
CLAW SM50 Pro Professional Studio Monitoring DJ Wired Over Ear Headphones with 2 Detachable Cables (2.8m Coiled Cable & 1.2m Straight Cable with Mic and in-line Controls) (Black/RED),-11%,₹220.83₹220.83,"2,650.00",Jet Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"GOBOULT Flex On Ear Bluetooth Headphones with 80H Playtime, 40mm Bass Drivers, Zen™ ENC Mic, Type-C Fast Charging, Bluetooth 5.4, AUX Option, 60ms Low Latency, IPX5, Wireless Headphone (Jet Black)",-76%,"₹5,499₹5,499","1,299.00",White,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"soundcore by Anker H30i Wireless On-Ear Headphones, Foldable Design, Pure Bass, 70H Playtime, Bluetooth 5.3, Lightweight and Comfortable, App Connectivity, Multipoint Connection (White)",-75%,"₹5,998₹5,998","1,499.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,"₹1,499.00₹1,499.00",,,,,,,,,,,,,,,,,,,,,,,,,,22 Ohm,,,,,
"Logitech H340 Stereo Wired Over Ear Headphones With Mic With Noise-Cancelling, Usb, Pc/Mac/Laptop - Black",-28%,"₹3,195₹3,195","2,299.00",Metalic Black,Over Ear,,,,,,,,,,,,,,,,,,,,,Built-in Mic and controls: Better design gives you more control. Take charge of your music and calls with the easy to use multi-function buttons,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
Blaupunkt Newly Launched BH41 Bluetooth Wireless Over Ear Headphones I Long Playtime I 40MM Drivers I Foldable I Flexible & Light Weight I Built in Mic I TurboVolt Fast Charging,-63%,"₹1,29,900.00₹1,29,900.00","1,299.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,4.5 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,,,38 Ohm,,,,,
Audio-Technica Ath-M50X Wired Over Ear Headphones Without Mic (Black),-51%,"₹23,600₹23,600","11,498.00","Black,",Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18 Ohm,,,,,
"Sennheiser HD 400s Wired Over Ear Headphone with Built-in Microphone & Remote for Office Calls and Music Control, Lightweight & Foldable Design, Renowned Sound Quality, Detachable Cable",,"₹1,247.50₹1,247.50","4,990.00",Black,True Wireless,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400 Ohm,,,,,
"HP H150 Wireless Earbuds, Compatible with Tablets, Smartphones, PCs, and Other Devices with Bluetooth,Noise-Reduction,Water Resistant Design,Black,0.036kg",-68%,"₹2,499₹2,499",790,"Black,",On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Razer BlackShark V2 X Wired Gaming On Ear Headset - Black|7.1 Surround Sound-50mm Drivers-Memory Foam Cushion-for PC,PS4,PS5,Switch,Xbox One,Xbox Series X|S,Mobile-3.5mm Audio Jack-RZ04-03240100-R3M1",-44%,"₹7,999₹7,999","4,466.00",Black,Over Ear,,,,,96 dB,,,,,,,,,,,,,,,,4.2 out of 5 stars,,,,,,,,,,,,,,,,,,,,,,,,4.2 out of 5 stars,,47 Ohm,,,,,
Audio-Technica ATH-M20x Over-Ear Professional Studio Monitor Headphones,-43%,"₹7,788₹7,788","4,449.00","Black,",On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Razer BlackShark V2 X Wired Gaming On Ear Headset - Black|7.1 Surround Sound-50mm Drivers-Memory Foam Cushion-for PC,PS4,PS5,Switch,Xbox One,Xbox Series X|S,Mobile-3.5mm Audio Jack-RZ04-03240100-R3M1",-44%,"₹7,999₹7,999","4,466.00",Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Thunder Max Bluetooth Over Ear Headphone with 120*Hrs Playback, 3 EQ Modes, 40mm Bass Driver, Fast Charging, Gaming Mode, Dual Pairing, BT v5.4, AUX, Metallic Finish (Black)",-56%,"₹2,499₹2,499","1,099.00",Carbon Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"Noise Airwave Max 5 Wireless Over-Ear Headphones with Adaptive Hybrid ANC (up to 50dB), HFA Tech, 80H Playtime, Dual Pairing(Carbon Black)",-25%,"₹5,999₹5,999","4,499.00",Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Zeb-Thunder PRO On-Ear Wireless Headphone Up to 60 Hours Playback, Wired Mode, USB-C Type Charging(Black)",-48%,"₹1,899₹1,899",989,Marine Blue 100 HRS w/ ANC,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANC(100 Hours),,,,,,,,,,,,,,,,,
"boAt Rockerz 255 ANC, 100HRS Battery, Spatial Audio, 32Db ANC, Fast Charge(10Mins=24HRS), 3Mics AI-Enx Tech, 13Mm Drivers, Bluetooth Neckband, in Ear Wireless with Mic Earphones (Marine Blue)",-77%,"₹6,990₹6,990","1,599.00",Blue (Zeb-Thunder),Over Ear,,,,,"Soft & comfortable earcups: Listen to music, podcasts and more for long hours with soft ear cups making it super comfortable for daily wear, All this with long playback time of 60 hours in BT mode.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Thunder Over Ear Bluetooth 5.3 Wireless Headphones with 60H Backup, Gaming Mode, Dual Pairing, Enc, Aux, Micro Sd, Voice Assistant, Comfortable Earcups, Call Function (Blue)",-33%,"₹1,199₹1,199",799,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50 Ohm,,,,,
"Sony MDR-M1 Wired High Resolution Monitor Over Ear Headphones, Closed Back Design for Audiophile",-50%,"₹39,990₹39,990","19,990.00",Copper,Over Ear,,,,,,,,,,,,,,,,,,,,,60 hours (BT+ANC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sennheiser ACCENTUM Wireless Special Edition-Over Ear Headphones with Hybrid ANC,50 Hr Battery & Free BTD 600 Bluetooth Dongle Worth 5,990 Streaming & Crystal Clear Calls,Designed in Germany - Copper",-33%,"₹20,990₹20,990","13,990.00",Blue,Open Ear,,,,,,,,,,,,,,,,,,,,,,,,,V5.4,,,,,,,,,,›,,,,,,,,,,,,11 Ohm,,,,,
"soundcore V20i by Anker Open-Ear Headphones, Adjustable Ear Hooks, Ultra-Comfort, Snug Fit, 16mm Drivers, 4 Mics, IP55, LED Lights, 36H Playtime, Fast Charging,Bluetooth 5.4, Multipoint Connection",-75%,"₹7,998₹7,998","1,999.00",Beige,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32 Ohm,,,,,
"ZEBRONICS Boom Wired Headphone, Over Ear, in-Line MIC, Foldable, 1.5 Meter Cable, for 3.5mm (Mobile | Tablet | Laptop | MAC), Soft Cushion, 40mm Drivers (Beige)",-46%,"₹1,299₹1,299",699,Black,Over Ear,,,,,,,,,,,,,,,,,,,,,,,,,V5.3,,,,,,,,,,›,,,,,,,,,,,,16 Ohm,,,,,
"soundcore by Anker,Space One Active Noise Cancelling Bluetooth Over Ear Headphones with Travel Pouch,2X Stronger Voice Reduction,40H ANC Playtime,App Control,Ldac Hi-Res,Ergo Design for Comfort Fit",-70%,"₹19,998₹19,998","5,999.00",Multicolor,,,,,,,,,Wired Type C,,,,,,,Devices with Type-C port,,,,,,,,,,,,"Dolby atmos, Multicolor Lights",,,,,,,,ZEB-BLITZ C Multicolor,,,,,,,,,,,,,,,,,
"ZEBRONICS Blitz C Dolby Atmos Gaming Over Ear Wired Headphone, 50Mm Neodymium Drivers, Padded Headband, Lightweight & Comfortable, RGB Lights, Flexible Mic, Type-C Connector, Black",-30%,"₹1,999₹1,999","1,399.00",Green,Over Ear,,,,,,,,,,,,,,,,,,,,,"✅ ENC for Clear Calling– Equipped with Environmental Noise Cancellation, these over-ear headphones ensure crystal-clear call quality by minimizing background noise during voice chats or meetings.",,,,,,,,,,,,,,Fluid X,,,,,,,,,,,,32 Ohm,,,,,
"Boult Newly Launched Fluid X Over Ear Headphones Bluetooth Wireless With 60H Playtime, 40Mm Bass Driver, Zen ENC Mic, Type-C Charging, Combat Gaming Mode, Btv 5.4, Headphones Wireless With Mic (Green)",-67%,"₹5,999₹5,999","1,999.00",Black,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30 Ohm,,,,,
"JBL C50HI, Wired in Ear Headphones with Mic, One Button Multi-Function Remote, Lightweight & Comfortable fit (Black)",-36%,₹699₹699,449,Midnight Blue,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Noise 3,,,,,,,,,,
"Noise Airwave Max 3 Bluetooth On Ear Headphones with 70H Playtime, 40mm Driver, Low Latency(up to 45ms),Dual Pairing, BT v5.3 (Midnight Blue)",-69%,"₹5,499₹5,499","1,699.00",Neon Yellow (Zeb-Thunder),On Ear,,,,,,,Noise 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Thunder Bluetooth Wireless On Ear Headphone FM, mSD, 60hrs Playback with Mic (Neon Yellow)",-43%,"₹1,399₹1,399",799,Black,Case,,,,,,,,,,,,,,,Headphones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M.G.R.J® Portable Carrying Case Cover for Boat Rockerz 450 Bluetooth On Ear Headphones (Hard|EVA|Black),-69%,₹999₹999,309,Black,On Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILIPS Audio Upbeat Tauh201 Wired On Ear Headphones with Mic (Black),-31%,"₹1,599₹1,599","1,099.00",Beige (Zeb-Thunder Pro),Over Ear,,,,,,3.5 mm Jack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ZEBRONICS Thunder PRO Over Ear Wireless Headphone with Dual Pairing, Gaming Mode, ENC, Bluetooth, Call Function, Aux, Micro SD, Voice Assistant, Deep Bass, Up to 60h Backup (Beige)",-47%,"₹1,899₹1,899",999,White,In Ear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45 Ohm,,,,,
